StringID  Type       x         y
D0         d         9555      7048
D1         d         1645      5291
D2         d         6517      2672
C0         c         1220      3778
C1         c         7001      4103
C2         c         478       10729
C3         c         5830      8863
C4         c         3745      4501
C5         c         6230      6828
C6         c         3883      7114
C7         c         2558      4990
C8         c         1793      5988
C9         c         3173      7173
C10        c         6222      2631
C11        c         3865      9622
C12        c         5771      1235
C13        c         9079      6478
C14        c         26        7834
C15        c         369       1684
C16        c         4951      7940
C17        c         5477      4083
C18        c         9905      1038
C19        c         9739      10119
C20        c         8573      8566
C21        c         10183     585
C22        c         6044      3874
C23        c         8080      10582
C24        c         4702      1481
C25        c         7688      6333
C26        c         10223     10881
C27        c         4654      10200
C28        c         8361      1667
C29        c         656       8874

TRUCKCAPACITY /10/
DEPOTCAPACITY /35/
DEPOTFIXCOST /648/
