StringID  Type       x         y
D0         d         4527      2508
D1         d         3617      4808
D2         d         2977      6505
D3         d         4232      6259
D4         d         3991      5735
C0         c         3538      9376
C1         c         8610      516
C2         c         3402      2946
C3         c         4380      961
C4         c         10019     6694
C5         c         6564      1104
C6         c         258       2439
C7         c         4932      4501
C8         c         6236      6802
C9         c         3961      4863
C10        c         10400     3347
C11        c         6267      6633
C12        c         2336      1447
C13        c         894       9436
C14        c         10340     892
C15        c         103       352
C16        c         5575      998
C17        c         1155      8755
C18        c         9166      9019
C19        c         2853      2056
C20        c         10471     8753
C21        c         838       8027
C22        c         1414      10070
C23        c         10226     1420
C24        c         9894      10352
C25        c         8880      5642
C26        c         2694      6159
C27        c         5554      1043
C28        c         4185      744
C29        c         10623     4185
C30        c         211       10035
C31        c         10821     7743
C32        c         8281      4015
C33        c         6386      2388
C34        c         7592      6116
C35        c         4637      3399
C36        c         5568      9553
C37        c         6617      1948
C38        c         666       4543
C39        c         2538      9973
C40        c         5816      302
C41        c         1186      7901
C42        c         3413      10871
C43        c         6310      4169
C44        c         6525      6649
C45        c         6501      328
C46        c         10165     10384
C47        c         4249      10557
C48        c         6366      10643
C49        c         385       8458
C50        c         2286      1444
C51        c         4749      4046
C52        c         5176      9462
C53        c         8524      3258
C54        c         10797     10698
C55        c         2147      10745
C56        c         5675      4362
C57        c         4935      807
C58        c         9477      2146
C59        c         7037      7388
C60        c         9955      5180
C61        c         6135      7304
C62        c         6987      9851
C63        c         8842      9313
C64        c         6928      6626
C65        c         1806      258
C66        c         5018      1589
C67        c         4486      9927
C68        c         10934     1912
C69        c         2616      374
C70        c         8288      8519
C71        c         1455      1496
C72        c         1918      9614
C73        c         847       7321
C74        c         3270      7330
C75        c         10664     8947
C76        c         5691      7719
C77        c         4871      3738
C78        c         10084     3796
C79        c         2945      10476
C80        c         9070      3308
C81        c         7274      6647
C82        c         2019      10886
C83        c         9334      1071
C84        c         4331      5703
C85        c         5757      4968
C86        c         10546     8742
C87        c         8980      8857
C88        c         305       7201
C89        c         1913      8122
C90        c         8569      8214
C91        c         3935      2967
C92        c         9958      8180
C93        c         9019      1349
C94        c         2097      7795
C95        c         3486      5381
C96        c         3440      4169
C97        c         2149      3199
C98        c         10146     10119
C99        c         8829      6992
C100       c         2397      10699
C101       c         1779      7967
C102       c         9907      9551
C103       c         5595      10637
C104       c         8677      3098
C105       c         9862      6451
C106       c         1614      6574
C107       c         250       512
C108       c         7827      3146
C109       c         1933      2578
C110       c         7056      2640
C111       c         9817      3005
C112       c         4767      6217
C113       c         4759      10282
C114       c         9950      56
C115       c         7701      9538
C116       c         3174      10597
C117       c         7249      628
C118       c         6867      7579
C119       c         10059     2979
C120       c         4881      6883
C121       c         3694      6107
C122       c         35        2634
